intersection,metric,scale,variance,agent,n,mean,sd,ci95
Toryská - Trieda SNP,avg_wait,1.0,0.5,Reward flow,10,82.19300000000001,6.1113683683225455,4.371809567210206
Toryská - Trieda SNP,avg_wait,1.0,0.8,PPO full,10,83.45499999999998,10.737959924181748,7.681473787799648
Toryská - Trieda SNP,avg_wait,1.0,0.8,SAC same reward,10,223.54700000000003,18.203862258078946,13.022258581655512
Toryská - Trieda SNP,avg_wait,1.0,0.8,Reward trip only,10,376.868,92.09758952087485,65.88264668700934
Toryská - Trieda SNP,avg_wait,1.0,0.8,Reward dwait only,10,152.46800000000002,11.060740180174802,7.912376873035258
Toryská - Trieda SNP,avg_wait,1.0,0.8,Reward dwait w1.0,10,78.159,6.659673749099459,4.764043607929845
Toryská - Trieda SNP,avg_wait,1.0,0.8,Reward flow,10,77.40300000000002,10.217286060615335,7.309006143738986
Toryská - Trieda SNP,avg_wait,1.4,0.3,PPO full,10,103.572,9.382479890140395,6.711821784542815
Toryská - Trieda SNP,avg_wait,1.4,0.3,SAC same reward,10,221.496,13.968794746386202,9.992673789914107
Toryská - Trieda SNP,avg_wait,1.4,0.3,Reward trip only,10,353.77799999999996,88.890273658658,63.58827113534326
Toryská - Trieda SNP,avg_wait,1.4,0.3,Reward dwait only,10,160.88600000000002,11.826803080761563,8.460385259377915
Toryská - Trieda SNP,avg_wait,1.4,0.3,Reward dwait w1.0,10,82.34700000000001,4.899700784515089,3.5050347933927517
Toryská - Trieda SNP,avg_wait,1.4,0.3,Reward flow,10,107.07300000000001,11.723105438027549,8.38620443451526
Toryská - Trieda SNP,avg_wait,1.4,0.5,PPO full,10,109.928,17.189071980638033,12.296321348576269
Toryská - Trieda SNP,avg_wait,1.4,0.5,SAC same reward,10,228.225,21.92463720718468,15.683940637060946
Toryská - Trieda SNP,avg_wait,1.4,0.5,Reward trip only,10,301.10300000000007,68.87901777754965,49.27308104364632
Toryská - Trieda SNP,avg_wait,1.4,0.5,Reward dwait only,10,151.62,11.098853794674273,7.939641710378959
Toryská - Trieda SNP,avg_wait,1.4,0.5,Reward dwait w1.0,10,84.208,6.939119060322668,4.963946741154489
Toryská - Trieda SNP,avg_wait,1.4,0.5,Reward flow,10,107.80999999999999,9.469985333791293,6.7744194079685105
Toryská - Trieda SNP,avg_wait,1.4,0.8,PPO full,10,104.022,10.012845971273325,7.162758513970921
Toryská - Trieda SNP,avg_wait,1.4,0.8,SAC same reward,10,219.033,19.064913701468587,13.638217678080299
Toryská - Trieda SNP,avg_wait,1.4,0.8,Reward trip only,10,350.599,71.62116810769783,51.23469721952756
Toryská - Trieda SNP,avg_wait,1.4,0.8,Reward dwait only,10,152.103,14.524216597730074,10.38999864699996
Toryská - Trieda SNP,avg_wait,1.4,0.8,Reward dwait w1.0,10,85.25800000000001,8.740022629007063,6.252235546000087
Toryská - Trieda SNP,avg_wait,1.4,0.8,Reward flow,10,110.33800000000001,12.888808064880685,9.220097858942797
Toryská - Trieda SNP,total_wait,0.2,0.3,PPO full,10,9678.7,1209.5651238725798,865.2707645835125
