intersection,metric,scale,variance,agent,n,mean,sd,ci95
Herlianska - Zelená Stráň,total_wait,0.6,0.5,PPO,10,21639.1,8185.471077871247,5855.533264323018
Herlianska - Zelená Stráň,total_wait,0.6,0.5,Static,10,18766.2,799.4572881371183,571.8972921115978
Herlianska - Zelená Stráň,total_wait,0.6,0.5,Actuated,10,11073.8,990.2198184690553,708.3605855883592
Herlianska - Zelená Stráň,total_wait,0.6,0.8,PPO,10,19103.8,5013.128315843423,3586.1759613442887
Herlianska - Zelená Stráň,total_wait,0.6,0.8,Static,10,18486.7,1178.8341745602354,843.2871677867287
Herlianska - Zelená Stráň,total_wait,0.6,0.8,Actuated,10,11002.5,1090.467305536688,780.0733177701669
Herlianska - Zelená Stráň,total_wait,1.0,0.3,PPO,10,50133.9,9036.188041548396,6464.099519330897
Herlianska - Zelená Stráň,total_wait,1.0,0.3,Static,10,37787.3,1725.0529814730007,1234.028563492487
Herlianska - Zelená Stráň,total_wait,1.0,0.3,Actuated,10,39827.6,2765.0496961577783,1977.997395547428
Herlianska - Zelená Stráň,total_wait,1.0,0.5,PPO,10,48355.4,8609.118940596263,6158.592688630558
Herlianska - Zelená Stráň,total_wait,1.0,0.5,Static,10,36896.7,1109.7010658531221,793.8323210406526
Herlianska - Zelená Stráň,total_wait,1.0,0.5,Actuated,10,38908.9,3188.1892614251533,2280.6932057583485
Herlianska - Zelená Stráň,total_wait,1.0,0.8,PPO,10,45245.8,2775.2519725443153,1985.2956644173391
Herlianska - Zelená Stráň,total_wait,1.0,0.8,Static,10,37590.6,1245.7174817929001,891.1326035109554
Herlianska - Zelená Stráň,total_wait,1.0,0.8,Actuated,10,39043.3,2884.980456317396,2063.790693068042
Herlianska - Zelená Stráň,total_wait,1.4,0.3,PPO,10,62145.0,4995.650219051681,3573.6728841007834
Herlianska - Zelená Stráň,total_wait,1.4,0.3,Static,10,54728.5,4425.097971294596,3165.524393440583
Herlianska - Zelená Stráň,total_wait,1.4,0.3,Actuated,10,61615.3,1849.810023278667,1323.2743749188464
Herlianska - Zelená Stráň,total_wait,1.4,0.5,PPO,10,58624.8,2219.6827501044177,1587.865384390386
Herlianska - Zelená Stráň,total_wait,1.4,0.5,Static,10,53946.7,2647.77231523659,1894.102211189231
Herlianska - Zelená Stráň,total_wait,1.4,0.5,Actuated,10,62179.1,1250.141098703129,894.2970684171344
Herlianska - Zelená Stráň,total_wait,1.4,0.8,PPO,10,60023.9,3241.189063359995,2318.606980088452
Herlianska - Zelená Stráň,total_wait,1.4,0.8,Static,10,56793.5,6766.3721651840715,4840.371056851703
Herlianska - Zelená Stráň,total_wait,1.4,0.8,Actuated,10,61853.0,854.4451090880235,611.2332095740782
