intersection,metric,scale,variance,agent,n,mean,sd,ci95
Jantárova - Palackého,total_wait,0.6,0.8,Static,10,14602.6,429.758381729393,307.43062627649454
Jantárova - Palackého,total_wait,0.6,0.8,Actuated,10,12909.8,841.9870413360159,602.3212447724088
Jantárova - Palackého,total_wait,1.0,0.3,PPO,10,40726.0,2121.1002909915514,1517.3437414546838
Jantárova - Palackého,total_wait,1.0,0.3,Static,10,26085.7,747.7441704516622,534.9039562451189
Jantárova - Palackého,total_wait,1.0,0.3,Actuated,10,31805.2,2105.909874614771,1506.4771721947156
Jantárova - Palackého,total_wait,1.0,0.5,PPO,10,41820.4,2621.946444066994,1875.627495894895
Jantárova - Palackého,total_wait,1.0,0.5,Static,10,26513.4,1027.7296661411826,735.193514163186
Jantárova - Palackého,total_wait,1.0,0.5,Actuated,10,32416.8,1605.9700979643287,1148.8418003895536
Jantárova - Palackého,total_wait,1.0,0.8,PPO,10,41971.8,2675.396992348363,1913.8637147368354
Jantárova - Palackého,total_wait,1.0,0.8,Static,10,26905.6,989.9624235292973,708.1764563406368
Jantárova - Palackého,total_wait,1.0,0.8,Actuated,10,30659.2,1242.7288789863485,888.9946858540325
Jantárova - Palackého,total_wait,1.4,0.3,PPO,10,72102.6,7272.403548881057,5202.364101826176
Jantárova - Palackého,total_wait,1.4,0.3,Static,10,46802.4,4602.489789957895,3292.4228559872045
Jantárova - Palackého,total_wait,1.4,0.3,Actuated,10,63419.0,4879.930145219522,3490.8917301234683
Jantárova - Palackého,total_wait,1.4,0.5,PPO,10,69734.3,6240.649076818852,4464.291414952125
Jantárova - Palackého,total_wait,1.4,0.5,Static,10,47685.8,4293.220800802638,3071.1851487869585
Jantárova - Palackého,total_wait,1.4,0.5,Actuated,10,62617.0,4306.999496942932,3081.0418342264325
Jantárova - Palackého,total_wait,1.4,0.8,PPO,10,71045.1,7676.608169555672,5491.514668658159
Jantárova - Palackého,total_wait,1.4,0.8,Static,10,47326.1,2487.144835616401,1779.1962343514272
Jantárova - Palackého,total_wait,1.4,0.8,Actuated,10,62312.9,4341.985220559319,3106.0691132264146
