intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,0,116,43724,376.93,1902,-1906.85
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,1,117,35858,306.48,1686,-1654.68
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,2,127,32378,254.94,995,-1721.66
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,3,127,24500,192.91,1304,-1351.52
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,4,114,43040,377.54,1823,-1934.12
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,5,122,35892,294.2,1548,-1544.19
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,6,117,39718,339.47,1803,-1749.55
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,7,113,44396,392.88,1859,-2031.02
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,8,113,41311,365.58,1827,-1822.52
Monaco - 134872 (MoST),0.3,PPO_seed8,0.2,9,118,39298,333.03,1783,-1844.47
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,0,118,37674,319.27,1529,-1769.49
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,1,121,29872,246.88,1363,-1482.0
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,2,119,34413,289.18,1598,-1466.29
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,3,118,34848,295.32,1448,-1628.05
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,4,119,41326,347.28,1505,-1769.25
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,5,112,42910,383.12,1900,-1911.59
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,6,121,32970,272.48,1273,-1553.07
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,7,112,47766,426.48,1971,-2082.82
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,8,121,34787,287.5,1612,-1580.19
Monaco - 134872 (MoST),0.5,PPO_seed8,0.2,9,112,44901,400.9,1944,-1912.62
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,0,113,44439,393.27,1894,-2072.37
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,1,120,40318,335.98,1832,-1801.08
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,2,112,43155,385.31,1963,-1924.21
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,3,115,37308,324.42,1655,-1885.12
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,4,115,41168,357.98,1925,-1833.57
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,5,122,28790,235.98,1507,-1327.66
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,6,124,31548,254.42,1222,-1456.49
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,7,112,44335,395.85,1967,-1905.11
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,8,112,42272,377.43,1902,-1843.62
Monaco - 134872 (MoST),0.8,PPO_seed8,0.2,9,122,28213,231.25,881,-1395.9
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,0,271,61090,225.42,1933,-2021.46
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,1,278,59884,215.41,1905,-1946.25
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,2,279,64476,231.1,1962,-2098.72
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,3,267,62501,234.09,1978,-2059.02
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,4,272,58585,215.39,1862,-1983.37
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,5,272,61946,227.74,1959,-2038.33
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,6,322,53207,165.24,1168,-1572.88
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,7,313,63273,202.15,1313,-1512.21
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,8,384,60539,157.65,1209,-1699.34
Monaco - 134872 (MoST),0.3,PPO_seed8,0.6,9,265,60848,229.62,1972,-2080.7
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,0,278,61034,219.55,1973,-2014.0
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,1,269,62700,233.09,1966,-2060.96
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,2,270,59923,221.94,1927,-1971.05
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,3,279,59728,214.08,1919,-2088.68
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,4,262,61380,234.27,1981,-2101.47
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,5,270,61282,226.97,1926,-2068.9
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,6,267,59983,224.66,1945,-2026.33
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,7,379,60176,158.78,1148,-1510.7
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,8,266,61567,231.45,1936,-2059.08
Monaco - 134872 (MoST),0.5,PPO_seed8,0.6,9,263,63918,243.03,1946,-2115.97
Monaco - 134872 (MoST),0.8,PPO_seed8,0.6,0,277,61902,223.47,1962,-2035.58
