intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,0,189,8769,46.4,581,-417.69
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,1,189,5574,29.49,433,-124.08
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,2,189,7881,41.7,499,-296.42
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,3,189,6064,32.08,320,-110.89
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,4,189,5362,28.37,236,-134.99
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,5,189,7938,42.0,408,-361.18
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,6,189,5849,30.95,425,-195.28
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,7,189,4873,25.78,288,-139.62
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,8,189,6504,34.41,427,-273.1
Herlianska - Zelená Stráň,0.3,PPO_seed10,0.2,9,189,7564,40.02,509,-292.6
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,0,189,9019,47.72,538,-463.39
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,1,189,5497,29.08,301,-154.76
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,2,189,7018,37.13,352,-284.69
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,3,189,8836,46.75,481,-397.07
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,4,189,6684,35.37,342,-250.38
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,5,189,7364,38.96,440,-277.91
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,6,189,15445,81.72,960,-881.56
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,7,189,6143,32.5,365,-199.36
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,8,189,8583,45.41,530,-278.15
Herlianska - Zelená Stráň,0.5,PPO_seed10,0.2,9,189,6746,35.69,435,-217.68
Herlianska - Zelená Stráň,0.8,PPO_seed10,0.2,0,189,7936,41.99,524,-353.22
Herlianska - Zelená Stráň,0.8,PPO_seed10,0.2,1,189,5390,28.52,391,-170.53
