intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,0,162,22110,136.48,1837,-337.81
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,1,162,14515,89.6,1509,-218.84
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,2,162,12399,76.54,1465,-123.88
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,3,162,21484,132.62,1805,-427.32
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,4,162,22272,137.48,1874,-379.24
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,5,162,25178,155.42,1640,-331.85
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,6,162,24613,151.93,1622,-349.07
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,7,162,26777,165.29,1960,-486.21
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,8,162,25169,155.36,1632,-398.31
Toryská - Trieda SNP,0.3,PPO_seed1,0.2,9,162,21301,131.49,1306,-397.3
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,0,162,19943,123.1,1984,-367.02
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,1,162,9368,57.83,778,-128.74
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,2,162,32808,202.52,1909,-560.89
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,3,162,22465,138.67,1842,-331.71
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,4,162,22808,140.79,1874,-370.16
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,5,162,20565,126.94,1420,-403.98
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,6,162,21660,133.7,1983,-382.99
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,7,162,18536,114.42,1354,-351.59
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,8,162,7152,44.15,681,-85.09
Toryská - Trieda SNP,0.5,PPO_seed1,0.2,9,162,33612,207.48,1805,-505.6
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,0,162,19580,120.86,1840,-291.61
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,1,162,21150,130.56,1587,-393.07
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,2,162,19516,120.47,1659,-384.94
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,3,162,18816,116.15,1182,-295.02
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,4,162,13538,83.57,1579,-183.1
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,5,162,7748,47.83,760,-74.61
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,6,162,20049,123.76,1639,-292.07
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,7,162,13726,84.73,1649,-162.85
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,8,162,50563,312.12,1721,-640.26
Toryská - Trieda SNP,0.8,PPO_seed1,0.2,9,162,22120,136.54,1747,-328.34
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,0,487,88707,182.15,1904,-556.79
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,1,476,92353,194.02,1897,-510.99
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,2,461,82043,177.97,1820,-478.96
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,3,475,85603,180.22,1865,-486.99
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,4,447,100500,224.83,1937,-523.5
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,5,452,85276,188.66,1953,-456.31
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,6,464,80226,172.9,1744,-509.06
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,7,463,85547,184.77,1909,-550.98
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,8,462,74607,161.49,1694,-435.72
Toryská - Trieda SNP,0.3,PPO_seed1,0.6,9,471,75434,160.16,1831,-458.69
Toryská - Trieda SNP,0.5,PPO_seed1,0.6,0,477,81857,171.61,1844,-339.71
Toryská - Trieda SNP,0.5,PPO_seed1,0.6,1,465,93464,201.0,1970,-474.17
Toryská - Trieda SNP,0.5,PPO_seed1,0.6,2,466,83400,178.97,1793,-525.0
Toryská - Trieda SNP,0.5,PPO_seed1,0.6,3,462,93447,202.27,1995,-537.24
Toryská - Trieda SNP,0.5,PPO_seed1,0.6,4,473,78529,166.02,1684,-506.79
Toryská - Trieda SNP,0.5,PPO_seed1,0.6,5,454,91441,201.41,1937,-522.46
Toryská - Trieda SNP,0.5,PPO_seed1,0.6,6,468,76069,162.54,1593,-432.51
Toryská - Trieda SNP,0.5,PPO_seed1,0.6,7,460,87828,190.93,1854,-521.73
