intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Jantárova - Palackého,0.3,PPO_seed9,0.2,0,170,5907,34.75,147,6.53
Jantárova - Palackého,0.3,PPO_seed9,0.2,1,170,5671,33.36,161,0.58
Jantárova - Palackého,0.3,PPO_seed9,0.2,2,170,5246,30.86,163,6.99
Jantárova - Palackého,0.3,PPO_seed9,0.2,3,170,6124,36.02,126,6.69
Jantárova - Palackého,0.3,PPO_seed9,0.2,4,170,6427,37.81,161,6.46
Jantárova - Palackého,0.3,PPO_seed9,0.2,5,170,5391,31.71,144,-0.44
Jantárova - Palackého,0.3,PPO_seed9,0.2,6,170,5861,34.48,163,5.42
Jantárova - Palackého,0.3,PPO_seed9,0.2,7,170,5289,31.11,135,7.04
Jantárova - Palackého,0.3,PPO_seed9,0.2,8,170,5806,34.15,280,6.6
Jantárova - Palackého,0.3,PPO_seed9,0.2,9,170,5807,34.16,147,5.41
Jantárova - Palackého,0.5,PPO_seed9,0.2,0,170,5682,33.42,181,6.87
Jantárova - Palackého,0.5,PPO_seed9,0.2,1,170,5751,33.83,148,5.12
Jantárova - Palackého,0.5,PPO_seed9,0.2,2,170,5676,33.39,146,6.1
Jantárova - Palackého,0.5,PPO_seed9,0.2,3,170,5293,31.14,150,7.19
Jantárova - Palackého,0.5,PPO_seed9,0.2,4,170,5558,32.69,182,6.71
Jantárova - Palackého,0.5,PPO_seed9,0.2,5,170,6296,37.04,230,6.39
Jantárova - Palackého,0.5,PPO_seed9,0.2,6,170,5287,31.1,135,7.14
Jantárova - Palackého,0.5,PPO_seed9,0.2,7,170,5582,32.84,201,3.34
Jantárova - Palackého,0.5,PPO_seed9,0.2,8,170,5120,30.12,144,7.47
Jantárova - Palackého,0.5,PPO_seed9,0.2,9,170,4987,29.34,146,6.94
Jantárova - Palackého,0.8,PPO_seed9,0.2,0,170,6304,37.08,171,6.3
Jantárova - Palackého,0.8,PPO_seed9,0.2,1,170,5938,34.93,153,7.45
Jantárova - Palackého,0.8,PPO_seed9,0.2,2,170,5490,32.29,130,7.18
Jantárova - Palackého,0.8,PPO_seed9,0.2,3,170,5401,31.77,146,7.46
Jantárova - Palackého,0.8,PPO_seed9,0.2,4,170,5696,33.51,169,6.52
Jantárova - Palackého,0.8,PPO_seed9,0.2,5,170,5104,30.02,140,6.75
Jantárova - Palackého,0.8,PPO_seed9,0.2,6,170,6237,36.69,194,-12.91
Jantárova - Palackého,0.8,PPO_seed9,0.2,7,170,5695,33.5,151,7.06
Jantárova - Palackého,0.8,PPO_seed9,0.2,8,170,5653,33.25,172,-5.91
Jantárova - Palackého,0.8,PPO_seed9,0.2,9,170,5469,32.17,135,5.55
Jantárova - Palackého,0.3,PPO_seed9,0.6,0,536,34332,64.05,387,-74.23
Jantárova - Palackého,0.3,PPO_seed9,0.6,1,536,27196,50.74,254,-20.55
Jantárova - Palackého,0.3,PPO_seed9,0.6,2,536,30253,56.44,311,-95.12
Jantárova - Palackého,0.3,PPO_seed9,0.6,3,536,29319,54.7,322,-2.79
Jantárova - Palackého,0.3,PPO_seed9,0.6,4,536,29819,55.63,409,-77.48
Jantárova - Palackého,0.3,PPO_seed9,0.6,5,536,24119,45.0,188,-12.89
Jantárova - Palackého,0.3,PPO_seed9,0.6,6,536,26340,49.14,265,-32.01
Jantárova - Palackého,0.3,PPO_seed9,0.6,7,536,29372,54.8,315,-58.87
Jantárova - Palackého,0.3,PPO_seed9,0.6,8,536,24653,45.99,265,-38.64
Jantárova - Palackého,0.3,PPO_seed9,0.6,9,536,22247,41.51,184,14.14
Jantárova - Palackého,0.5,PPO_seed9,0.6,0,536,36278,67.68,473,-60.03
Jantárova - Palackého,0.5,PPO_seed9,0.6,1,536,21542,40.19,231,-10.27
Jantárova - Palackého,0.5,PPO_seed9,0.6,2,536,26203,48.89,323,-22.14
Jantárova - Palackého,0.5,PPO_seed9,0.6,3,536,23862,44.52,239,-74.5
Jantárova - Palackého,0.5,PPO_seed9,0.6,4,536,26146,48.78,311,-30.58
Jantárova - Palackého,0.5,PPO_seed9,0.6,5,536,24753,46.18,323,20.54
Jantárova - Palackého,0.5,PPO_seed9,0.6,6,536,23550,43.94,208,-24.93
Jantárova - Palackého,0.5,PPO_seed9,0.6,7,536,26340,49.14,313,-37.12
Jantárova - Palackého,0.5,PPO_seed9,0.6,8,536,26945,50.27,261,-119.39
Jantárova - Palackého,0.5,PPO_seed9,0.6,9,536,24745,46.17,251,-47.01
Jantárova - Palackého,0.8,PPO_seed9,0.6,0,536,34581,64.52,531,-159.85
Jantárova - Palackého,0.8,PPO_seed9,0.6,1,536,24946,46.54,177,-13.54
Jantárova - Palackého,0.8,PPO_seed9,0.6,2,536,28400,52.99,251,-71.11
Jantárova - Palackého,0.8,PPO_seed9,0.6,3,536,26112,48.72,257,-5.36
Jantárova - Palackého,0.8,PPO_seed9,0.6,4,536,27801,51.87,282,-3.02
Jantárova - Palackého,0.8,PPO_seed9,0.6,5,536,28093,52.41,269,-54.05
Jantárova - Palackého,0.8,PPO_seed9,0.6,6,536,26867,50.12,292,-73.31
Jantárova - Palackého,0.8,PPO_seed9,0.6,7,536,31736,59.21,401,-155.54
Jantárova - Palackého,0.8,PPO_seed9,0.6,8,536,28604,53.37,280,-36.87
Jantárova - Palackého,0.8,PPO_seed9,0.6,9,536,31546,58.85,418,-78.69
Jantárova - Palackého,0.3,PPO_seed9,1.0,0,915,78487,85.78,485,-38.89
Jantárova - Palackého,0.3,PPO_seed9,1.0,1,915,85822,93.79,368,-113.01
Jantárova - Palackého,0.3,PPO_seed9,1.0,2,915,73261,80.07,391,13.99
Jantárova - Palackého,0.3,PPO_seed9,1.0,3,915,93013,101.65,636,-103.49
Jantárova - Palackého,0.3,PPO_seed9,1.0,4,906,87827,96.94,591,-6.66
Jantárova - Palackého,0.3,PPO_seed9,1.0,5,915,68606,74.98,370,-34.28
Jantárova - Palackého,0.3,PPO_seed9,1.0,6,915,79855,87.27,481,-60.28
Jantárova - Palackého,0.3,PPO_seed9,1.0,7,915,68494,74.86,371,-19.28
Jantárova - Palackého,0.3,PPO_seed9,1.0,8,915,83145,90.87,526,-100.64
Jantárova - Palackého,0.3,PPO_seed9,1.0,9,915,72921,79.7,412,-12.7
Jantárova - Palackého,0.5,PPO_seed9,1.0,0,894,90220,100.92,798,-205.68
Jantárova - Palackého,0.5,PPO_seed9,1.0,1,915,76455,83.56,383,-70.83
Jantárova - Palackého,0.5,PPO_seed9,1.0,2,915,78170,85.43,518,-60.49
Jantárova - Palackého,0.5,PPO_seed9,1.0,3,915,76138,83.21,406,-26.89
Jantárova - Palackého,0.5,PPO_seed9,1.0,4,915,97972,107.07,554,-142.31
Jantárova - Palackého,0.5,PPO_seed9,1.0,5,915,90444,98.85,627,-151.51
Jantárova - Palackého,0.5,PPO_seed9,1.0,6,915,72335,79.05,474,-68.26
Jantárova - Palackého,0.5,PPO_seed9,1.0,7,915,101473,110.9,509,-81.15
Jantárova - Palackého,0.5,PPO_seed9,1.0,8,915,63839,69.77,323,-64.41
Jantárova - Palackého,0.5,PPO_seed9,1.0,9,915,65363,71.43,336,-52.56
Jantárova - Palackého,0.8,PPO_seed9,1.0,0,915,80214,87.67,441,-34.81
Jantárova - Palackého,0.8,PPO_seed9,1.0,1,915,76936,84.08,358,-84.32
Jantárova - Palackého,0.8,PPO_seed9,1.0,2,915,66694,72.89,295,-7.44
Jantárova - Palackého,0.8,PPO_seed9,1.0,3,915,71893,78.57,412,-29.0
Jantárova - Palackého,0.8,PPO_seed9,1.0,4,915,72625,79.37,440,17.48
Jantárova - Palackého,0.8,PPO_seed9,1.0,5,915,75109,82.09,364,-79.23
Jantárova - Palackého,0.8,PPO_seed9,1.0,6,915,94194,102.94,553,10.72
Jantárova - Palackého,0.8,PPO_seed9,1.0,7,915,75041,82.01,602,26.92
Jantárova - Palackého,0.8,PPO_seed9,1.0,8,915,81270,88.82,425,-58.2
Jantárova - Palackého,0.8,PPO_seed9,1.0,9,915,75352,82.35,618,-54.96
Jantárova - Palackého,0.3,PPO_seed9,1.4,0,1225,147745,120.61,752,-21.95
Jantárova - Palackého,0.3,PPO_seed9,1.4,1,1208,135188,111.91,700,7.21
Jantárova - Palackého,0.3,PPO_seed9,1.4,2,1216,133238,109.57,606,26.93
Jantárova - Palackého,0.3,PPO_seed9,1.4,3,1175,161169,137.17,767,-227.43
Jantárova - Palackého,0.3,PPO_seed9,1.4,4,1200,128615,107.18,643,-32.04
Jantárova - Palackého,0.3,PPO_seed9,1.4,5,1219,135067,110.8,463,-62.09
Jantárova - Palackého,0.3,PPO_seed9,1.4,6,1219,133988,109.92,698,19.95
Jantárova - Palackého,0.3,PPO_seed9,1.4,7,1261,148616,117.86,562,-2.16
Jantárova - Palackého,0.3,PPO_seed9,1.4,8,1154,144866,125.53,602,-152.11
Jantárova - Palackého,0.3,PPO_seed9,1.4,9,1246,137157,110.08,524,45.5
Jantárova - Palackého,0.5,PPO_seed9,1.4,0,1174,139273,118.63,664,-98.0
Jantárova - Palackého,0.5,PPO_seed9,1.4,1,1215,141608,116.55,547,-39.07
Jantárova - Palackého,0.5,PPO_seed9,1.4,2,1243,133116,107.09,611,53.52
Jantárova - Palackého,0.5,PPO_seed9,1.4,3,1170,150773,128.87,707,-157.11
Jantárova - Palackého,0.5,PPO_seed9,1.4,4,1260,148596,117.93,633,-88.75
Jantárova - Palackého,0.5,PPO_seed9,1.4,5,1278,131621,102.99,354,30.2
Jantárova - Palackého,0.5,PPO_seed9,1.4,6,1140,146045,128.11,855,13.6
Jantárova - Palackého,0.5,PPO_seed9,1.4,7,1214,146037,120.29,728,-93.59
Jantárova - Palackého,0.5,PPO_seed9,1.4,8,1169,133492,114.19,827,-85.44
Jantárova - Palackého,0.5,PPO_seed9,1.4,9,1253,133525,106.56,564,-94.5
Jantárova - Palackého,0.8,PPO_seed9,1.4,0,1194,153632,128.67,626,-104.44
Jantárova - Palackého,0.8,PPO_seed9,1.4,1,1216,144903,119.16,726,-17.52
Jantárova - Palackého,0.8,PPO_seed9,1.4,2,1276,134857,105.69,678,-14.61
Jantárova - Palackého,0.8,PPO_seed9,1.4,3,1180,145226,123.07,774,-47.26
Jantárova - Palackého,0.8,PPO_seed9,1.4,4,1183,126462,106.9,872,-43.85
Jantárova - Palackého,0.8,PPO_seed9,1.4,5,1269,141641,111.62,461,-85.62
Jantárova - Palackého,0.8,PPO_seed9,1.4,6,1175,146619,124.78,1067,-161.34
Jantárova - Palackého,0.8,PPO_seed9,1.4,7,1259,147834,117.42,656,12.32
Jantárova - Palackého,0.8,PPO_seed9,1.4,8,1278,152532,119.35,551,-29.51
Jantárova - Palackého,0.8,PPO_seed9,1.4,9,1169,150025,128.34,737,-85.02
