intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,0,189,4794,25.37,228,6.69
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,1,189,3826,20.24,274,4.7
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,2,189,5173,27.37,216,9.43
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,3,189,6228,32.95,286,-6.77
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,4,189,3628,19.2,189,11.12
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,5,189,5475,28.97,237,5.43
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,6,189,4301,22.76,286,6.73
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,7,189,6627,35.06,446,-19.98
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,8,189,4710,24.92,220,7.14
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.2,9,189,4937,26.12,319,4.34
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,0,189,5083,26.89,199,5.9
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,1,189,6293,33.3,516,-23.93
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,2,189,8385,44.37,500,-25.34
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,3,189,5077,26.86,369,0.41
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,4,189,4883,25.84,262,11.11
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,5,189,5107,27.02,231,1.93
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,6,189,6667,35.28,338,-30.45
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,7,189,3583,18.96,209,14.69
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,8,189,6514,34.47,289,0.38
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.2,9,189,6872,36.36,418,-8.85
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,0,189,6567,34.75,455,-0.73
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,1,189,4124,21.82,273,15.46
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,2,189,6061,32.07,306,-17.27
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,3,189,4724,24.99,334,0.97
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,4,189,5761,30.48,302,-9.12
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,5,189,5100,26.98,264,-15.95
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,6,189,4793,25.36,240,6.76
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,7,189,5768,30.52,406,-24.96
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,8,189,8226,43.52,413,-4.04
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.2,9,189,9308,49.25,656,-72.44
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,0,518,25391,49.02,236,-23.5
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,1,530,27609,52.09,419,-44.83
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,2,524,24302,46.38,355,-5.25
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,3,475,29117,61.3,392,-74.17
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,4,505,29453,58.32,285,-126.73
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,5,524,27213,51.93,307,-29.49
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,6,517,25971,50.23,335,-19.66
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,7,500,27887,55.77,315,-45.37
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,8,501,29390,58.66,514,-44.06
Herlianska - Zelená Stráň,0.3,PPO_seed1,0.6,9,491,29552,60.19,320,-147.78
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,0,525,27261,51.93,333,-18.38
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,1,493,29791,60.43,355,-19.1
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,2,513,28938,56.41,336,-38.62
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,3,506,35424,70.01,492,-154.99
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,4,497,33808,68.02,518,-48.36
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,5,505,30162,59.73,345,-18.45
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,6,506,28388,56.1,337,-58.32
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,7,503,28922,57.5,356,-80.46
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,8,525,26252,50.0,364,-27.8
Herlianska - Zelená Stráň,0.5,PPO_seed1,0.6,9,524,26575,50.72,274,-15.19
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,0,514,29337,57.08,418,-13.61
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,1,525,27552,52.48,339,-38.38
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,2,489,30058,61.47,442,-47.01
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,3,446,33353,74.78,864,-334.51
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,4,505,29453,58.32,388,-40.06
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,5,514,28964,56.35,261,-35.68
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,6,489,28693,58.68,331,-51.43
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,7,521,29743,57.09,401,-8.41
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,8,517,27973,54.11,303,-38.91
Herlianska - Zelená Stráň,0.8,PPO_seed1,0.6,9,491,28039,57.11,400,-38.83
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,0,735,56297,76.59,525,-50.88
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,1,755,48404,64.11,393,7.95
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,2,749,48249,64.42,412,-47.8
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,3,776,50112,64.58,529,-6.72
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,4,775,65886,85.01,475,-41.92
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,5,760,53524,70.43,371,6.81
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,6,775,61837,79.79,767,-18.77
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,7,740,51182,69.16,444,-33.88
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,8,769,47171,61.34,395,-9.63
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.0,9,747,50405,67.48,410,2.29
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,0,766,50537,65.98,461,11.45
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,1,769,48309,62.82,383,-13.64
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,2,759,56937,75.02,502,-8.31
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,3,747,55811,74.71,607,-21.62
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,4,756,46732,61.81,334,10.93
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,5,746,58932,79.0,448,-30.94
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,6,763,48281,63.28,320,-13.44
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,7,766,55650,72.65,338,-19.02
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,8,748,50954,68.12,429,-24.81
Herlianska - Zelená Stráň,0.5,PPO_seed1,1.0,9,754,48966,64.94,339,-18.15
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,0,758,55389,73.07,526,-8.43
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,1,744,51628,69.39,489,-17.72
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,2,734,50617,68.96,549,-81.6
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,3,758,48989,64.63,318,-4.36
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,4,769,50315,65.43,379,-17.98
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,5,741,44916,60.62,401,-11.34
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,6,759,53556,70.56,434,-20.77
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,7,749,53620,71.59,445,-31.48
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,8,782,52338,66.93,500,-23.39
Herlianska - Zelená Stráň,0.8,PPO_seed1,1.0,9,759,48168,63.46,335,10.12
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.4,0,934,80673,86.37,632,-8.33
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.4,1,936,81464,87.03,424,-16.14
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.4,2,919,79500,86.51,486,-30.0
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.4,3,953,81999,86.04,554,-43.4
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.4,4,929,85033,91.53,556,0.69
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.4,5,914,83632,91.5,546,-30.82
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.4,6,979,79613,81.32,625,-57.2
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.4,7,933,82210,88.11,435,0.67
Herlianska - Zelená Stráň,0.3,PPO_seed1,1.4,8,910,86061,94.57,512,-21.83
