intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Jantárova - Palackého,0.3,PPO_seed7,0.2,0,170,4196,24.68,148,8.88
Jantárova - Palackého,0.3,PPO_seed7,0.2,1,170,4645,27.32,159,7.88
Jantárova - Palackého,0.3,PPO_seed7,0.2,2,170,4151,24.42,168,8.35
Jantárova - Palackého,0.3,PPO_seed7,0.2,3,170,4074,23.96,137,7.36
Jantárova - Palackého,0.3,PPO_seed7,0.2,4,170,5155,30.32,174,7.38
Jantárova - Palackého,0.3,PPO_seed7,0.2,5,170,4641,27.3,188,8.97
Jantárova - Palackého,0.3,PPO_seed7,0.2,6,170,4690,27.59,243,11.08
Jantárova - Palackého,0.3,PPO_seed7,0.2,7,170,4942,29.07,157,7.0
Jantárova - Palackého,0.3,PPO_seed7,0.2,8,170,5143,30.25,255,7.14
Jantárova - Palackého,0.3,PPO_seed7,0.2,9,170,4073,23.96,139,7.26
Jantárova - Palackého,0.5,PPO_seed7,0.2,0,170,6023,35.43,185,6.24
Jantárova - Palackého,0.5,PPO_seed7,0.2,1,170,4576,26.92,117,7.06
Jantárova - Palackého,0.5,PPO_seed7,0.2,2,170,5414,31.85,169,7.15
Jantárova - Palackého,0.5,PPO_seed7,0.2,3,170,4657,27.39,147,7.55
Jantárova - Palackého,0.5,PPO_seed7,0.2,4,170,4523,26.61,137,10.26
Jantárova - Palackého,0.5,PPO_seed7,0.2,5,170,5232,30.78,193,8.68
Jantárova - Palackého,0.5,PPO_seed7,0.2,6,170,4611,27.12,177,7.72
Jantárova - Palackého,0.5,PPO_seed7,0.2,7,170,5600,32.94,237,8.1
Jantárova - Palackého,0.5,PPO_seed7,0.2,8,170,3791,22.3,143,8.81
Jantárova - Palackého,0.5,PPO_seed7,0.2,9,170,4209,24.76,156,10.26
Jantárova - Palackého,0.8,PPO_seed7,0.2,0,170,3834,22.55,110,8.52
Jantárova - Palackého,0.8,PPO_seed7,0.2,1,170,5094,29.96,227,8.87
Jantárova - Palackého,0.8,PPO_seed7,0.2,2,170,4712,27.72,204,9.81
Jantárova - Palackého,0.8,PPO_seed7,0.2,3,170,4611,27.12,120,9.88
Jantárova - Palackého,0.8,PPO_seed7,0.2,4,170,4177,24.57,143,8.39
Jantárova - Palackého,0.8,PPO_seed7,0.2,5,170,3950,23.24,189,7.78
