intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,0,0,0,0,0,0.0
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,0,265,6450,24.34,176,-315.05
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,1,265,4889,18.45,62,-138.13
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,2,265,4582,17.29,62,-115.16
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,3,265,6704,25.3,179,-333.56
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,4,265,6720,25.36,175,-339.59
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,5,265,4623,17.45,62,-117.81
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,6,265,6633,25.03,176,-325.92
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,7,265,6653,25.11,175,-329.23
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,8,265,6886,25.98,184,-337.13
LuST - -3976 (Luxembourg),0.3,PPO_seed2,0.2,9,265,4727,17.84,62,-126.49
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,0,265,6623,24.99,180,-324.98
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,1,265,4809,18.15,63,-131.63
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,2,265,4652,17.55,63,-119.48
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,3,265,4542,17.14,61,-115.66
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,4,265,4757,17.95,62,-129.9
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,5,265,6974,26.32,174,-352.98
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,6,265,6424,24.24,174,-314.4
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,7,265,6723,25.37,180,-330.43
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,8,265,6766,25.53,174,-334.94
LuST - -3976 (Luxembourg),0.5,PPO_seed2,0.2,9,265,4641,17.51,62,-125.9
LuST - -3976 (Luxembourg),0.8,PPO_seed2,0.2,0,265,4608,17.39,62,-119.8
LuST - -3976 (Luxembourg),0.8,PPO_seed2,0.2,1,265,6482,24.46,179,-318.32
