intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,0,0,0,0,0,0.0
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,0,265,811,3.06,11,47.29
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,1,265,743,2.8,11,54.15
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,2,265,835,3.15,10,51.52
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,3,265,839,3.17,9,49.79
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,4,265,746,2.82,11,52.15
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,5,265,743,2.8,9,54.79
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,6,265,950,3.58,12,48.37
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,7,265,817,3.08,12,54.79
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,8,265,762,2.88,9,51.38
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.2,9,265,948,3.58,13,47.67
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,0,265,813,3.07,11,51.94
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,1,265,786,2.97,10,55.09
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,2,265,710,2.68,13,56.26
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,3,265,782,2.95,10,49.21
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,4,265,759,2.86,12,51.54
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,5,265,757,2.86,7,53.62
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,6,265,754,2.85,9,53.6
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,7,265,735,2.77,10,57.17
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,8,265,765,2.89,10,51.13
LuST - -3976 (Luxembourg),0.5,PPO_seed1,0.2,9,265,881,3.32,10,46.98
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,0,265,818,3.09,14,48.44
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,1,265,848,3.2,10,47.86
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,2,265,807,3.05,11,53.26
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,3,265,780,2.94,12,54.01
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,4,265,780,2.94,13,52.3
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,5,265,830,3.13,11,49.6
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,6,265,759,2.86,10,54.67
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,7,265,880,3.32,10,52.36
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,8,265,888,3.35,10,50.67
LuST - -3976 (Luxembourg),0.8,PPO_seed1,0.2,9,265,749,2.83,10,49.52
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.6,0,784,12554,16.01,49,138.88
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.6,1,787,13568,17.24,51,143.06
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.6,2,782,13079,16.73,56,135.18
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.6,3,784,13255,16.91,57,140.39
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.6,4,787,12439,15.81,49,133.81
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.6,5,779,12933,16.6,53,141.97
LuST - -3976 (Luxembourg),0.3,PPO_seed1,0.6,6,784,12579,16.04,50,142.54
